id,name,address,lon,lat,district,city,province,type,tel,crawl_time
京ICP备2023020281号-12,京ICP备2023020281号-12,,自动售货机,北京,2026-02-04 21:00:36
京公网安备 11010502056787号,京公网安备 11010502056787号,,自动售货机,北京,2026-02-04 21:00:36
协议与声明,协议与声明,,自动售货机,北京,2026-02-04 21:00:36
商户免费标注,商户免费标注,,自动售货机,北京,2026-02-04 21:00:36
网上有害信息举报,网上有害信息举报,,自动售货机,北京,2026-02-04 21:00:36
涉未成年人举报,涉未成年人举报,,自动售货机,北京,2026-02-04 21:00:36
算法推荐举报,算法推荐举报,,自动售货机,北京,2026-02-04 21:00:36
生活服务专项举报,生活服务专项举报,,自动售货机,北京,2026-02-04 21:00:36
刷新二维码,刷新二维码,,自动售货机,北京,2026-02-04 21:00:36
《高德服务条款》,《高德服务条款》,,自动售货机,北京,2026-02-04 21:00:36
《高德隐私权政策》,《高德隐私权政策》,,自动售货机,北京,2026-02-04 21:00:36
《高德账号服务个人信息处理规则》,《高德账号服务个人信息处理规则》,,自动售货机,北京,2026-02-04 21:00:36
子账号密码遗失怎么办 ?,子账号密码遗失怎么办 ?,,自动售货机,北京,2026-02-04 21:00:36
1. 山姆会员商店(北京顺义店),1. 山姆会员商店(北京顺义店),,超市,北京,2026-02-04 21:01:13
2. 山姆会员商店(北京石景山店),2. 山姆会员商店(北京石景山店),,超市,北京,2026-02-04 21:01:13
3. 山姆会员商店(北京亦庄店),3. 山姆会员商店(北京亦庄店),,超市,北京,2026-02-04 21:01:13
4. 山姆会员商店(北京大兴店),4. 山姆会员商店(北京大兴店),,超市,北京,2026-02-04 21:01:13
5. 国泰生活广场(机场店),5. 国泰生活广场(机场店),,超市,北京,2026-02-04 21:01:13
6. 山姆会员商店(北京昌平店),6. 山姆会员商店(北京昌平店),,超市,北京,2026-02-04 21:01:13
7. 朝悦百惠购物中心,7. 朝悦百惠购物中心,,超市,北京,2026-02-04 21:01:13
8. 北京华联BHG Mall(同成街店),8. 北京华联BHG Mall(同成街店),,超市,北京,2026-02-04 21:01:13
9. 牛街清真食品超市,9. 牛街清真食品超市,,超市,北京,2026-02-04 21:01:13
10. 沃尔玛(富卓商厦店),10. 沃尔玛(富卓商厦店),,超市,北京,2026-02-04 21:01:13
11. 永辉超市(百子湾路店),11. 永辉超市(百子湾路店),,超市,北京,2026-02-04 21:01:13
12. 顺商集团鑫海韵通大卖场(石园店),12. 顺商集团鑫海韵通大卖场(石园店),,超市,北京,2026-02-04 21:01:13
13. 北京华联购物中心(北京平谷店),13. 北京华联购物中心(北京平谷店),,超市,北京,2026-02-04 21:01:13
14. 永辉超市(鲁谷店),14. 永辉超市(鲁谷店),,超市,北京,2026-02-04 21:01:13
15. 北京花卉交易中心,15. 北京花卉交易中心,,超市,北京,2026-02-04 21:01:13
16. 北京华联超市(BHGMall顺义金街店店),16. 北京华联超市(BHGMall顺义金街店店),,超市,北京,2026-02-04 21:01:13
17. 麦德龙会员店(上品折扣店),17. 麦德龙会员店(上品折扣店),,超市,北京,2026-02-04 21:01:13
18. 大润发(科兴店),18. 大润发(科兴店),,超市,北京,2026-02-04 21:01:13
19. 永辉超市(旧宫宣颐家园店),19. 永辉超市(旧宫宣颐家园店),,超市,北京,2026-02-04 21:01:13
20. 京客隆超市(望京店),20. 京客隆超市(望京店),,超市,北京,2026-02-04 21:01:13
